Mike	3:45 1/6/2022	95
Jim	3:45 1/6/2022	132
Mike	3:46 1/6/2022	164
Jim	3:46 1/6/2022	98
Lana	3:46 1/6/2022	100
Mike	4:30 1/6/2022	113
Mike	4:31 1/6/2022	158
Lana	4:31 1/6/2022	121
Mike	4:32 1/6/2022	124
Mike	4:53 1/6/2022	159
Jim	15:6 1/6/2022	134
Jim	15:6 1/6/2022	135
Tom	15:7 1/6/2022	179
Mike	15:35 2/3/2022	133
Jim	15:35 2/3/2022	97
Mike	15:36 2/3/2022	131
Jim	15:37 2/3/2022	157
Lana	15:43 2/3/2022	151
ak	15:43 2/3/2022	142
Tom	10:20 2/5/2022	140
Jim	10:20 2/5/2022	123
Jim	16:31 2/5/2022	145
Mike	12:4 2/6/2022	88
Jim	12:4 2/6/2022	94
Mike	14:33 2/6/2022	112
Mike	14:37 2/6/2022	102
Jim	14:37 2/6/2022	124
Mike	18:29 2/6/2022	0
Jim	18:29 2/6/2022	0
Mike	18:31 2/6/2022	150
Jim	18:31 2/6/2022	119
Mike	18:35 2/6/2022	106
Jim	18:35 2/6/2022	167
Mike	18:39 2/6/2022	105
Jim	18:39 2/6/2022	104
Mike	18:49 2/6/2022	147
Jim	18:49 2/6/2022	115
Tom	18:49 2/6/2022	107
Lana	18:49 2/6/2022	157
Mike	15:5 2/0/2022	109
Jim	15:5 2/0/2022	142
Mike	15:21 2/0/2022	103
Jim	15:21 2/0/2022	121
Mike	15:25 2/0/2022	137
Jim	15:25 2/0/2022	121
Mike	15:27 2/0/2022	99
Jim	15:27 2/0/2022	190
Mike	15:32 2/0/2022	114
Jim	15:32 2/0/2022	132
